,address,driving_time,public_trans_time,public_trans_option
289,"Herzl St.  26,Lod",typically 30 - 55 min,46 min,13    רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
290,"Ha-Avot St.  9,Rishon LeTsiyon",typically 30 min - 1 hr 5 min,43 min,193
291,"Ha-Sar Shapira St.  38,Bat Yam",typically 26 min - 1 hr 5 min,42 min,1
292,HaShikma St. Bat Yam,typically 22 min - 1 hr,NA,NA
293,"Abarbanel St.  11,Rishon LeTsiyon",typically 30 min - 1 hr 5 min,42 min,193
294,Yam ha-Melakh St. Ashkelon,typically 1 - 2 hr,1 hr 37 min,18    אשקלון-אשקלון<->הרצליה-הרצליה
295,HaKnesset St. Holon,typically 20 - 50 min,31 min,271
296,"onyx  4,Be'er Ya'akov",typically 1 hr 30 min - 2 hr 50 min,1 hr 15 min,כרמיאל-כרמיאל<->באר שבע מרכז-באר שבע
297,Yo'el Drubin St. Rishon LeTsiyon,typically 30 min - 1 hr,46 min,190
298,"HaHadarim St.  6,Rishon LeTsiyon",typically 30 min - 1 hr,39 min,190
299,"Bayit Vagan St.  9,Bat Yam",typically 22 - 55 min,26 min,240
300,Ein Ganim St. Petah Tikva,typically 28 min - 1 hr 10 min,42 min,49    1
301,Horowitz St. Rishon LeTsiyon,typically 35 min - 1 hr 5 min,46 min,190
302,"Avital St.  21,Yokneam Illit",typically 1 hr 20 min - 3 hr 20 min,1 hr 43 min,188    826
303,"Derech Raziel  49,Netanya",typically 45 min - 1 hr 25 min,44 min,16    נתניה-נתניה<->בית שמש-בית שמש
304,"אריק איינשטיין  3,Bat Yam",typically 24 min - 1 hr 5 min,48 min,1
305,"Margolin St.  15,Rishon LeTsiyon",typically 28 min - 1 hr,39 min,193
306,Arik Einstein Bat Yam,typically 24 min - 1 hr 5 min,48 min,1
307,"Gershon Shatz St.  6,Ramla",typically 35 min - 1 hr 20 min,50 min,450
308,"Yona Tsvi Feinstein St.  13,Rishon LeTsiyon",typically 30 min - 1 hr 5 min,57 min,190
309,"HaRehasim St.  49,Ramat Gan",typically 12 - 35 min,21 min,60
310,Meir Binet St. Ramla,typically 35 min - 1 hr 15 min,47 min,450
311,"Har HaTsofim St.  19,Rehovot",typically 45 min - 1 hr 20 min,1 hr 6 min,17    רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
312,Irus ha-Argaman St. Netanya,typically 35 min - 1 hr 10 min,48 min,611
313,Biltmore St. Tel Aviv-Yafo,typically 10 - 26 min,34 min 2.5 km,706
314,Rehovot HaNahar Ramat Gan,typically 8 - 20 min,13 min,200
315,HaHashmonaim St. Bat Yam,typically 22 - 55 min,1 hr 19 min,705
316,"Sderot Hachmei Israel  14,Tel Aviv-Yafo",typically 10 - 24 min,23 min,46
317,Har HaTsofim St. Rehovot,typically 45 min - 1 hr 20 min,1 hr 5 min,17    רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
318,"Ha-Akhim Ostashinski St.  22,Rishon LeTsiyon",typically 30 min - 1 hr 10 min,45 min,190
319,"Abarbanel St.  4,Rishon LeTsiyon",typically 30 min - 1 hr 5 min,41 min,193
320,"null  7,feinberg",NA,NA,NA
321,Talpiot St. Ramat Gan,typically 10 - 30 min,13 min,200
322,Rothschild St. Rishon LeTsiyon,typically 30 min - 1 hr,40 min,190
323,Haikarim St. Azor,typically 16 - 35 min,23 min,96
324,Gevim St. Rishon LeTsiyon,typically 30 min - 1 hr 15 min,49 min,190
325,Nordau St. Rishon LeTsiyon,typically 30 min - 1 hr 5 min,45 min,193
326,Hatzeva St. Holon,typically 22 - 55 min,36 min,171
327,"Shmuel Yosef Agnon St.  47,Bat Yam",typically 24 min - 1 hr,46 min,1
328,"Meir Vinik St.  20,Rishon LeTsiyon",typically 30 min - 1 hr,49 min,190
329,Yehuda Burla St. Tel Aviv-Yafo,typically 14 - 35 min,20 min,611
330,Ein Ganim St. Petah Tikva,typically 28 min - 1 hr 10 min,42 min,49    1
331,Ein Ganim St. Petah Tikva,typically 28 min - 1 hr 10 min,42 min,49    1
332,Ein Ganim St. Petah Tikva,typically 28 min - 1 hr 10 min,42 min,49    1
333,Rambam St. Petah Tikva,typically 35 min - 1 hr 15 min,40 min,1
334,"Kalischer St.  15,Beer Sheva",typically 1 hr 25 min - 2 hr 20 min,1 hr 32 min,5    באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
335,"Moshe Levi  7,Ramla",typically 35 min - 1 hr 15 min,54 min,450
336,"HaGdud Haivri St.  57,Rishon LeTsiyon",typically 30 min - 1 hr,39 min,193
337,Dizengoff St. Tel Aviv-Yafo,typically 12 - 35 min,14 min,8
338,"Derech Ben Gurion  133,Bat Yam",typically 24 min - 1 hr,39 min,6    אשקלון-אשקלון<->הרצליה-הרצליה
339,Yosef Aharonovich St. Holon,typically 22 min - 1 hr,NA,NA
340,HaHashmonaim St. Bat Yam,typically 22 - 55 min,1 hr 19 min,705
341,HaHashmonaim St. Netanya,typically 45 min - 1 hr 25 min,46 min,650
342,Ha-Shlosha St. Bat Yam,typically 20 - 50 min,29 min,240
343,"Nili St.  31,Netanya",typically 45 min - 1 hr 25 min,50 min,611
344,"Vilna St.  6,Ramla",typically 35 min - 1 hr 15 min,42 min,450
345,Yona Bugla St. Rishon LeTsiyon,typically 35 min - 1 hr 15 min,50 min,193
346,"Aharon Kron St.  24,Rishon LeTsiyon",typically 30 min - 1 hr 5 min,45 min,190
347,"Olei HaGardom St.  49,Rishon LeTsiyon",typically 30 min - 1 hr,43 min,190
348,Dizengoff St. Tel Aviv-Yafo,typically 12 - 35 min,14 min,8
349,"Yaffa Yarkoni St.  5,Holon",typically 22 - 55 min,38 min,71
350,Vigodski St. Rishon LeTsiyon,typically 30 min - 1 hr 5 min,39 min,193
351,Hativat Carmeli St. Ashdod,typically 45 min - 1 hr 40 min,41 min,280
352,Odem St. Beer Yaakov,typically 35 min - 1 hr 20 min,47 min,רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
353,"Professor Brodetski St.  26,Netanya",typically 40 min - 1 hr 20 min,50 min,32א    בנימינה-בנימינה גבעת עדה<->לוד-לוד
354,"Yitshak Sadeh St.  6,Bat Yam",typically 24 min - 1 hr,45 min,1
355,"Abarbanel St.  7,Rishon LeTsiyon",typically 30 min - 1 hr 5 min,42 min,193
356,"Ha-Yakinton St.  3,Rishon LeTsiyon",typically 30 min - 1 hr,41 min,190
357,Topaz St. Beer Yaakov,typically 35 min - 1 hr 20 min,37 min,159
358,Yoseftal St. Ramla,typically 35 min - 1 hr 15 min,44 min,450
359,Albert Einstein St. Lod,typically 35 min - 1 hr 5 min,35 min,רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
360,Albert Einstein St. Lod,typically 35 min - 1 hr 5 min,35 min,רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
361,Harduf St. Ramla,typically 35 min - 1 hr 15 min,31 min,בית שמש-בית שמש<->נתניה-נתניה
362,"Moshe Hess St.  4,Rishon LeTsiyon",typically 28 - 55 min,45 min,190
363,David Remez St. Netanya,typically 45 min - 1 hr 25 min,45 min,650
364,"Yefet St.  34,Tel Aviv-Yafo",typically 20 - 45 min,32 min,46
365,"Shlomo ha-Melekh St.  53,Netanya",typically 45 min - 1 hr 40 min,44 min,650
366,Ha-Portsim St. Holon,typically 18 - 45 min,30 min,240
367,"David Wolffsohn St.  46,Rishon LeTsiyon",typically 35 min - 1 hr 5 min,41 min,190
368,Ein ha-Kore St. Rishon LeTsiyon,typically 28 - 55 min,45 min,190
369,Ha-Histadrut St. Bat Yam,typically 20 - 55 min,27 min,240
370,HaHashmonaim St. Bat Yam,typically 22 - 55 min,1 hr 19 min,705
371,Khisdai St. Holon,typically 18 - 40 min,32 min,171
372,Moshe Dayan St. Holon,typically 22 min - 1 hr,36 min,240
373,Zrubavel St. Bat Yam,typically 24 min - 1 hr 5 min,45 min,1
374,Rambam St. Bat Yam,typically 20 - 50 min,54 min,705
375,"Ha-Akhim Suleiman St.  14,Rishon LeTsiyon",typically 30 min - 1 hr 5 min,42 min,193
376,Max Nordau St. Bat Yam,typically 26 min - 1 hr 10 min,43 min,1
377,"Prof. Schorr St.  9,Tel Aviv-Yafo",typically 9 - 26 min,15 min,56
378,"HaRav Herzog St.  2,Rishon LeTsiyon",typically 28 min - 1 hr,41 min,193
379,Grynszpan St. Petah Tikva,typically 30 min - 1 hr 5 min,31 min,51
380,"Ha Shunit  4,Yavne",typically 35 min - 1 hr 20 min,46 min,177
381,Nahal HaBsor St. Gedera,typically 45 min - 1 hr 30 min,55 min,30    345
382,HaHashmonaim St. Tel Aviv-Yafo,typically 6 - 16 min,18 min 1.5 km,710
383,Reuven Barkat St. Holon,typically 22 - 50 min,NA,NA
384,"Yiftakh St.  16,Tel Aviv-Yafo",typically 9 - 20 min,18 min,46
385,David Reznik St. Netanya,typically 40 min - 1 hr 15 min,51 min,600
386,Tchernikhovski St. Holon,typically 20 - 45 min,31 min,71
387,Ha-Nevi'im St. Bat Yam,typically 22 min - 1 hr,NA,NA
388,"Kheil ha-Raglim St.  11,Rishon LeTsiyon",typically 26 min - 1 hr 5 min,38 min,15        190
389,Tora VaAvoda St. Rishon LeTsiyon,typically 26 min - 1 hr 5 min,NA,NA
390,Ha-Kharuv St. Tirat Carmel,typically 1 hr 30 min - 2 hr 50 min,1 hr 27 min,45        כרמיאל-כרמיאל<->באר שבע מרכז-באר שבע
391,HaDugit St. Rishon LeTsiyon,typically 30 min - 1 hr,41 min,190
392,Benjamin St. Ramat Gan,typically 7 - 22 min,12 min,200
393,"Aharon Kron St.  28,Rishon LeTsiyon",typically 30 min - 1 hr 5 min,45 min,190
394,Jabotinsky St. Rishon LeTsiyon,typically 35 min - 1 hr,45 min,190
395,Hish St. Bat Yam,typically 20 - 55 min,26 min,240
396,"HaGdud Haivri St.  11,Bat Yam",typically 20 - 55 min,27 min,240
397,Mohiliver St. Tel Aviv-Yafo,typically 12 - 30 min,18 min,23
398,onyx Be'er Ya'akov,typically 1 hr 15 min - 1 hr 50 min,1 hr 52 min,363        ירושלים/יצחק נבון-ירושלים<->הרצליה-הרצליה
399,HaTfutsot St. Ramat Gan,typically 18 - 45 min,26 min,60
400,Beit Horon St. Ramat Gan,typically 10 - 28 min,16 min,200
401,Bar Kochva St. Ramat Gan,typically 12 - 40 min,23 min,60
402,Abba Hillel Silver Road Ramat Gan,typically 12 - 30 min,18 min,200
403,"Zeev Jabotinsky St.  7,Ramat Gan",typically 6 - 18 min,8 min,200
404,Renanim St. Ramat Gan,typically 14 - 35 min,19 min,75
405,"Aharon Lublin St.  54,Lod",typically 35 min - 1 hr 5 min,28 min,רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
406,Hahermon St. Beer Yaakov,typically 35 min - 1 hr 15 min,38 min,רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
407,David Bloch St. Tel Aviv-Yafo,typically 8 - 22 min,16 min,36
408,Tsamarot St. Lod,typically 30 min - 1 hr,34 min,1    רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
409,"Beit Yosef St.  10,Rishon LeTsiyon",typically 30 min - 1 hr 5 min,41 min,193
410,"Arik Einstein  1,Bat Yam",typically 24 min - 1 hr 5 min,47 min,1
411,Doctor Yohanan Bader St. Ramat Gan,typically 14 - 45 min,23 min,60
412,HaNadiv St. Herzliya,typically 28 min - 1 hr,38 min,9        בנימינה-בנימינה גבעת עדה<->לוד-לוד
413,HaNasi St. Gan Yavne,typically 45 min - 1 hr 30 min,1 hr 8 min,340    177
414,Yehuda ha-Levi St. Tel Aviv-Yafo,typically 8 - 20 min,17 min,23
415,Olei HaGardom St. Rishon LeTsiyon,typically 35 min - 1 hr 5 min,43 min,190
416,Ruppin St. Rishon LeTsiyon,typically 30 min - 1 hr 10 min,44 min,190
417,Zeev Jabotinsky St. Ramat Gan,typically 20 - 50 min,21 min,51
418,"Moshe Tavori St.  2,Petah Tikva",typically 30 min - 1 hr 5 min,42 min,64
419,Mosinzon St. Tel Aviv-Yafo,typically 10 - 26 min,36 min 2.9 km,706
420,Mosinzon St. Tel Aviv-Yafo,typically 10 - 26 min,36 min 2.9 km,706
421,Mosinzon St. Tel Aviv-Yafo,typically 10 - 26 min,36 min 2.9 km,706
422,Mosinzon St. Tel Aviv-Yafo,typically 10 - 26 min,36 min 2.9 km,706
423,Mosinzon St. Tel Aviv-Yafo,typically 10 - 26 min,36 min 2.9 km,706
424,"Dizengoff St.  38,Netanya",typically 45 min - 1 hr 25 min,46 min,650
425,"Dakar St.  1,Lod",typically 30 min - 1 hr,NA,NA
426,"Arlozorov St.  10,Bat Yam",typically 22 - 55 min,39 min,46
427,"Ahad HaAm St.  1,Bat Yam",typically 26 min - 1 hr,45 min,1
428,"Raphael Suissa Boulevard  32,Mazkeret Batya",typically 50 min - 1 hr 40 min,1 hr 17 min,26    רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
429,"Yehuda Ragunis St.  4,Rishon LeTsiyon",typically 30 min - 1 hr,46 min,193
430,Shtulim St. Tel Aviv-Yafo,typically 10 - 20 min,19 min,7
431,Meir Shfeya St. Petah Tikva,typically 35 min - 1 hr 10 min,35 min,51
432,Mendelssohn St. Petah Tikva,typically 26 min - 1 hr 10 min,38 min,49    1
433,Shoshanat HaKarmel St. Haifa,typically 1 hr 30 min - 2 hr 50 min,1 hr 31 min,3        כרמיאל-כרמיאל<->באר שבע מרכז-באר שבע
434,Zamenhoff St. Bat Yam,typically 22 - 55 min,32 min,240
435,Frug St. Tel Aviv-Yafo,typically 12 - 30 min,14 min,8
436,Kibuts Galuyot St. Bat Yam,typically 20 - 50 min,31 min,240
437,Vulkani St. Holon,typically 20 - 45 min,NA,NA
438,Khayim Gilad St. Petah Tikva,typically 24 min - 1 hr,38 min,364
439,"Chlenov St.  2,Rishon LeTsiyon",typically 35 min - 1 hr 5 min,43 min,190
440,Moshe Levi Ramla,typically 35 min - 1 hr 15 min,54 min,450
441,Geva St. Ashkelon,typically 1 hr 5 min - 2 hr 10 min,1 hr 31 min,18    אשקלון-אשקלון<->הרצליה-הרצליה
442,Zisman Shalom St. Ramat Gan,typically 6 - 18 min,8 min,200
443,Yehuda Ragunis St. Rishon LeTsiyon,typically 30 min - 1 hr 5 min,47 min,193
444,"Derech Ben Gurion  113,Bat Yam",typically 24 min - 1 hr,38 min,6    אשקלון-אשקלון<->הרצליה-הרצליה
445,"Fikus St.  16,Tel Aviv-Yafo",typically 20 - 45 min,38 min,46
446,Derech Ben Gurion Bat Yam,typically 24 min - 1 hr,1 hr 15 min,705
447,"Yitshak Sadeh St.  8,Bat Yam",typically 24 min - 1 hr,NA,NA
448,Bialik St. Holon,typically 20 - 50 min,29 min,71
449,Khabad St. Rishon LeTsiyon,typically 28 min - 1 hr,NA,NA
450,"Derech Sheshet HaYamim  78,Rehovot",typically 40 min - 1 hr 20 min,1 hr 6 min,18    רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
451,"Jabotinsky St.  56,Rishon LeTsiyon",typically 26 - 55 min,42 min,3    190
452,Yehoshua Hankin St. Holon,typically 18 - 40 min,NA,NA
453,"רמב""ם  30,באר שבע",typically 1 hr 25 min - 2 hr 20 min,1 hr 30 min,באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
454,"Ha-Komemiyut St.  14,Bat Yam",typically 22 min - 1 hr 5 min,46 min,1
455,HaRav Kuk St. Netanya,typically 45 min - 1 hr 40 min,42 min,650
456,Beit Lekhem St. Holon,typically 22 - 55 min,35 min,89
457,HaAlonim Boulevard Beer Yaakov,typically 30 min - 1 hr 15 min,41 min,רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
458,Bialik St. Bat Yam,typically 22 - 55 min,1 hr 13 min,705
459,Kdoshei Kahir St. Holon,typically 22 - 55 min,25 min,אשקלון-אשקלון<->הרצליה-הרצליה
460,Doctor Mordehai veHava Frieman St. Lod,typically 28 - 55 min,36 min,460
461,Simha Holtsberg St. Ramla,typically 35 min - 1 hr 15 min,50 min,450
462,"Givat HaTahmoshet St.  4,Holon",typically 20 - 55 min,37 min,89
463,"Tarmav St.  21,Rishon LeTsiyon",typically 28 - 55 min,44 min,190
464,"Tarmav St.  21,Rishon LeTsiyon",typically 28 - 55 min,44 min,190
465,HaBashan St. Tel Aviv-Yafo,typically 10 - 28 min,13 min,56
466,Rothschild St. Petah Tikva,typically 24 min - 1 hr 5 min,NA,NA
467,Meir Dankner St. Petah Tikva,typically 30 min - 1 hr 5 min,32 min,51
468,Bareket St. Beer Yaakov,typically 35 min - 1 hr 20 min,42 min,רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
469,Uzi Khitman St. Holon,typically 24 - 55 min,37 min,71
470,Shoshana Damari St. Holon,typically 22 - 55 min,36 min,71
471,Jabotinsky St. Bat Yam,typically 22 min - 1 hr,42 min,1
472,"Ha-Komemiyut St.  14,Bat Yam",typically 22 min - 1 hr 5 min,46 min,1
473,HaAtsmaut Boulevard Bat Yam,typically 20 - 55 min,37 min,1
474,"Beit ha-Sho'eva St.  8,Jerusalem",typically 1 hr 10 min - 2 hr,1 hr 29 min,1    ירושלים/יצחק נבון-ירושלים<->מודיעין מרכז-מודיעין מכבים רעות    מודיעין מרכז-מודיעין מכבים רעות<->נהריה-נהריה
475,"אורגד  4,Netanya",typically 45 min - 1 hr 30 min,55 min,16    נתניה-נתניה<->בית שמש-בית שמש
476,Hana Rovina St. Herzliya,typically 24 - 50 min,31 min,213        בנימינה-בנימינה גבעת עדה<->לוד-לוד
477,"Ha-Akhim Smilchanski St.  3,Rishon LeTsiyon",typically 35 min - 1 hr 5 min,43 min,190
478,Moriya St. Beer Sheva,typically 1 hr 25 min - 2 hr 20 min,1 hr 33 min,16        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
479,Meir Grossman St. Beer Sheva,typically 1 hr 30 min - 2 hr 20 min,1 hr 58 min,5    באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
480,"Beit El St.  6,Tel Aviv-Yafo",typically 18 - 45 min,27 min,80    בנימינה-בנימינה גבעת עדה<->לוד-לוד
481,"Shachar St.  7,Or Yehuda",typically 26 - 50 min,42 min,77    36
482,Jean Jaures St. Holon,typically 20 - 45 min,31 min,71
483,Ha-Tsela St. Ramat Gan,typically 16 - 40 min,19 min,75
484,"Ha-Pardes St.  6,Netanya",typically 45 min - 1 hr 40 min,45 min,650
485,Herzl St. Petah Tikva,typically 26 min - 1 hr 10 min,41 min,364
486,Caesarea St. Be'er Sheva,typically 1 hr 25 min - 2 hr 20 min,1 hr 44 min,27א        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
487,HaRav Tana St. Be'er Sheva,typically 1 hr 30 min - 2 hr 20 min,1 hr 49 min,5    באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
488,Ehud Manor St. Netanya,typically 35 min - 1 hr 10 min,48 min,600
489,Aharon Lublin St. Lod,typically 35 min - 1 hr 5 min,25 min,רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
490,"Tel Hai St.  12,Rishon LeTsiyon",typically 28 - 55 min,44 min,3    190
491,Herzl St. Petah Tikva,typically 26 min - 1 hr 10 min,41 min,364
492,Barzilai St. Rishon LeTsiyon,typically 30 min - 1 hr,39 min,190
493,HaRav Tana St. Beer Sheva,typically 1 hr 30 min - 2 hr 20 min,1 hr 49 min,5    באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
494,"Netiv Ha Lamed Hei  24,Rehovot",typically 40 min - 1 hr 30 min,54 min,276
495,"Gluskin St.  10,Rishon LeTsiyon",typically 30 min - 1 hr 5 min,42 min,193
496,"Emek Khefer St.  47,Netanya",typically 45 min - 1 hr 30 min,47 min,16    נתניה-נתניה<->בית שמש-בית שמש
497,Betsalel St. Beer Sheva,typically 1 hr 25 min - 2 hr 20 min,NA,NA
498,Shlomo Molkho St. Rishon LeTsiyon,typically 30 min - 1 hr 5 min,40 min,193
499,HaGat St. Rishon LeTsiyon,typically 28 min - 1 hr,36 min,190
500,Mikhael Neeman St. Tel Aviv-Yafo,typically 22 - 45 min,27 min,611
501,Balfour St. Ashkelon,typically 1 - 2 hr,1 hr 9 min,304
502,"Palmakh St.  7,Ness Ziona",typically 35 min - 1 hr 20 min,42 min,277
503,HaGra St. Holon,typically 18 - 45 min,32 min,171
504,"Rothschild St.  59,Bat Yam",typically 20 - 50 min,29 min,240
505,"Ha-Hadarim St.  14,Mazkeret Batya",typically 50 min - 1 hr 30 min,1 hr 12 min,26    רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
506,"Lavontin St.  10,Netanya",typically 40 min - 1 hr 25 min,48 min,611
507,Nahalat Tsvi St. Petah Tikva,typically 35 min - 1 hr 15 min,45 min,486        הרצליה-הרצליה<->אשדוד עד הלום-אשדוד
508,Sokolov St. Holon,typically 18 - 40 min,29 min,71
509,David Elazar St. Ramla,typically 35 min - 1 hr 20 min,46 min,450
510,"Tova ve-Tuvya Miller St.  9,Rehovot",typically 40 min - 1 hr 30 min,1 hr,8    רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
511,Arlozorov St. Holon,typically 20 - 45 min,NA,NA
512,Shabazi St. Tel Aviv-Yafo,typically 12 - 35 min,22 min,23
513,Kaf-Tet BeNovember St. Bat Yam,typically 20 - 55 min,29 min,240
514,"Sokolov St.  10,Bat Yam",typically 24 min - 1 hr,1 hr 5 min,705
515,David Meir Guttman St. Petah Tikva,typically 28 min - 1 hr 15 min,33 min,1
516,HaAlonim Boulevard Beer Yaakov,typically 30 min - 1 hr 15 min,41 min,רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
517,Yohanan HaSandlar St. Bat Yam,typically 24 min - 1 hr 5 min,49 min,1
518,Katz Michal Leib St. Petah Tikva,typically 24 min - 1 hr 5 min,NA,NA
519,Ha-Portsim St. Netanya,typically 40 min - 1 hr 20 min,44 min,827
520,Mishmar HaYarden St. Petah Tikva,typically 28 min - 1 hr 15 min,48 min,364
521,Mishmar HaYarden St. Petah Tikva,typically 28 min - 1 hr 15 min,48 min,364
522,Kalaniyot Boulevard Ramat Gan,typically 14 - 35 min,17 min,75
523,Hazon Ish St. Rishon LeTsiyon,typically 28 min - 1 hr,NA,NA
524,Manya Shohat St. Rishon LeTsiyon,typically 30 min - 1 hr,45 min,190
525,Ha-Portsim St. Holon,typically 18 - 45 min,30 min,240
526,Feierberg St. Beer Sheva,typically 1 hr 30 min - 2 hr 30 min,1 hr 47 min,14        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
527,Tagore St. Tel Aviv-Yafo,typically 16 - 40 min,23 min,171
528,"Rabbi Akiva St.  68,Beer Sheva",typically 1 hr 25 min - 2 hr 20 min,1 hr 32 min,11        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
529,Ben Shemen St. Lod,typically 35 min - 1 hr 5 min,54 min,2    רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
530,Olei HaGardom St. Beer Sheva,typically 1 hr 25 min - 2 hr 20 min,1 hr 34 min,5    באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
531,Yigal Alon St. Herzliya,typically 30 min - 1 hr 5 min,39 min,501
532,"Elkharizi St.  42,Holon",typically 18 - 40 min,33 min,71
533,"Halper St.  29,Bat Yam",typically 20 - 50 min,40 min,46
534,Ha-Brosh St. Beer Yaakov,typically 35 min - 1 hr 15 min,44 min,רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
535,"HaKotel HaMaaravi St.  45,Beer Sheva",typically 1 hr 25 min - 2 hr 20 min,1 hr 35 min,16        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
